close,epoch,high,low,open,time
1555.02,1734642043,1555.85,1533.93,1542.07,2024-12-19 21:00:43+00:00
1564.09,1734645600,1568.19,1550.15,1555.64,2024-12-19 22:00:00+00:00
1551.77,1734649200,1572.09,1545.0,1564.16,2024-12-19 23:00:00+00:00
1554.32,1734652800,1564.97,1538.59,1552.42,2024-12-20 00:00:00+00:00
1542.69,1734656400,1558.49,1533.86,1554.26,2024-12-20 01:00:00+00:00
1560.46,1734660000,1562.44,1531.92,1543.2,2024-12-20 02:00:00+00:00
1575.84,1734663600,1584.94,1558.91,1561.04,2024-12-20 03:00:00+00:00
1562.9,1734667200,1575.72,1558.73,1574.81,2024-12-20 04:00:00+00:00
1583.05,1734670800,1598.5,1561.8,1562.64,2024-12-20 05:00:00+00:00
1581.98,1734674400,1588.44,1574.81,1582.56,2024-12-20 06:00:00+00:00
1591.18,1734678000,1603.97,1580.73,1581.66,2024-12-20 07:00:00+00:00
1579.36,1734681600,1595.71,1577.31,1590.92,2024-12-20 08:00:00+00:00
1571.52,1734685200,1581.23,1560.29,1579.74,2024-12-20 09:00:00+00:00
1559.21,1734688800,1574.34,1548.13,1571.37,2024-12-20 10:00:00+00:00
1548.41,1734692400,1567.3,1546.47,1559.24,2024-12-20 11:00:00+00:00
1576.1,1734696000,1579.66,1542.61,1548.72,2024-12-20 12:00:00+00:00
1573.5,1734699600,1588.72,1556.78,1576.7,2024-12-20 13:00:00+00:00
1620.58,1734703200,1621.4,1565.38,1573.35,2024-12-20 14:00:00+00:00
1648.4,1734706800,1648.45,1617.89,1619.83,2024-12-20 15:00:00+00:00
1652.6,1734710400,1655.21,1632.92,1648.36,2024-12-20 16:00:00+00:00
1640.31,1734714000,1663.22,1638.87,1653.09,2024-12-20 17:00:00+00:00
1642.69,1734717600,1653.81,1634.36,1640.73,2024-12-20 18:00:00+00:00
1617.13,1734721200,1650.03,1614.95,1642.75,2024-12-20 19:00:00+00:00
1608.49,1734724800,1619.11,1601.3,1617.9,2024-12-20 20:00:00+00:00
1630.59,1734728400,1637.66,1608.22,1608.32,2024-12-20 21:00:00+00:00
1655.37,1734732000,1670.02,1628.71,1629.92,2024-12-20 22:00:00+00:00
1632.04,1734735600,1658.35,1624.72,1656.27,2024-12-20 23:00:00+00:00
1622.91,1734739200,1639.67,1614.39,1631.98,2024-12-21 00:00:00+00:00
1604.08,1734742800,1625.83,1595.69,1623.19,2024-12-21 01:00:00+00:00
1629.07,1734746400,1632.23,1601.17,1603.84,2024-12-21 02:00:00+00:00
1645.49,1734750000,1651.48,1621.83,1628.37,2024-12-21 03:00:00+00:00
1653.78,1734753600,1660.02,1641.89,1645.39,2024-12-21 04:00:00+00:00
1664.19,1734757200,1677.02,1648.33,1654.06,2024-12-21 05:00:00+00:00
1653.55,1734760800,1668.4,1644.71,1664.51,2024-12-21 06:00:00+00:00
1652.26,1734764400,1672.78,1652.03,1653.98,2024-12-21 07:00:00+00:00
1629.76,1734768000,1656.5,1620.11,1652.05,2024-12-21 08:00:00+00:00
1674.13,1734771600,1678.75,1627.21,1629.27,2024-12-21 09:00:00+00:00
1670.62,1734775200,1682.47,1661.32,1674.39,2024-12-21 10:00:00+00:00
1690.05,1734778800,1708.85,1666.45,1670.42,2024-12-21 11:00:00+00:00
1696.3,1734782400,1700.59,1683.98,1689.79,2024-12-21 12:00:00+00:00
1711.16,1734786000,1716.02,1692.71,1695.94,2024-12-21 13:00:00+00:00
1712.23,1734789600,1721.28,1700.99,1711.21,2024-12-21 14:00:00+00:00
1696.72,1734793200,1718.57,1690.44,1711.95,2024-12-21 15:00:00+00:00
1713.37,1734796800,1714.29,1689.56,1696.79,2024-12-21 16:00:00+00:00
1693.37,1734800400,1717.52,1674.96,1713.11,2024-12-21 17:00:00+00:00
1692.89,1734804000,1709.95,1687.01,1692.9,2024-12-21 18:00:00+00:00
1707.75,1734807600,1709.28,1678.69,1692.98,2024-12-21 19:00:00+00:00
1718.1,1734811200,1727.66,1702.16,1707.57,2024-12-21 20:00:00+00:00
1710.31,1734814800,1726.57,1706.62,1718.35,2024-12-21 21:00:00+00:00
1740.0,1734818400,1741.43,1704.7,1710.3,2024-12-21 22:00:00+00:00
1729.71,1734822000,1750.11,1723.22,1740.87,2024-12-21 23:00:00+00:00
1737.66,1734825600,1738.6,1717.89,1729.48,2024-12-22 00:00:00+00:00
1740.19,1734829200,1740.2,1711.25,1737.95,2024-12-22 01:00:00+00:00
1756.91,1734832800,1759.14,1732.47,1740.51,2024-12-22 02:00:00+00:00
1737.04,1734836400,1762.7,1736.12,1757.53,2024-12-22 03:00:00+00:00
1727.19,1734840000,1737.99,1718.41,1737.27,2024-12-22 04:00:00+00:00
1729.44,1734843600,1740.52,1715.44,1726.81,2024-12-22 05:00:00+00:00
1719.33,1734847200,1733.95,1710.09,1729.55,2024-12-22 06:00:00+00:00
1715.91,1734850800,1727.54,1704.22,1720.09,2024-12-22 07:00:00+00:00
1678.93,1734854400,1725.06,1677.22,1715.74,2024-12-22 08:00:00+00:00
1673.19,1734858000,1685.45,1656.92,1678.97,2024-12-22 09:00:00+00:00
1668.95,1734861600,1689.96,1667.7,1673.48,2024-12-22 10:00:00+00:00
1701.39,1734865200,1708.57,1668.26,1669.08,2024-12-22 11:00:00+00:00
1683.79,1734868800,1702.56,1681.33,1701.76,2024-12-22 12:00:00+00:00
1676.68,1734872400,1683.75,1661.29,1683.75,2024-12-22 13:00:00+00:00
1645.91,1734876000,1680.16,1642.58,1676.05,2024-12-22 14:00:00+00:00
1634.56,1734879600,1648.5,1614.12,1645.85,2024-12-22 15:00:00+00:00
1657.58,1734883200,1663.93,1633.78,1634.99,2024-12-22 16:00:00+00:00
1671.31,1734886800,1674.6,1653.38,1657.72,2024-12-22 17:00:00+00:00
1655.02,1734890400,1671.81,1651.28,1670.81,2024-12-22 18:00:00+00:00
1659.39,1734894000,1663.66,1642.76,1654.92,2024-12-22 19:00:00+00:00
1648.77,1734897600,1666.3,1648.05,1659.61,2024-12-22 20:00:00+00:00
1668.83,1734901200,1671.7,1648.42,1648.7,2024-12-22 21:00:00+00:00
1668.47,1734904800,1671.33,1643.22,1668.58,2024-12-22 22:00:00+00:00
1685.16,1734908400,1692.59,1655.73,1667.9,2024-12-22 23:00:00+00:00
1662.56,1734912000,1692.12,1659.15,1685.66,2024-12-23 00:00:00+00:00
1670.82,1734915600,1683.44,1662.53,1662.97,2024-12-23 01:00:00+00:00
1664.3,1734919200,1680.62,1659.33,1670.68,2024-12-23 02:00:00+00:00
1666.87,1734922800,1667.44,1646.57,1664.4,2024-12-23 03:00:00+00:00
1647.69,1734926400,1667.41,1626.06,1666.26,2024-12-23 04:00:00+00:00
1655.09,1734930000,1664.02,1646.13,1647.93,2024-12-23 05:00:00+00:00
1629.06,1734933600,1658.72,1628.26,1654.16,2024-12-23 06:00:00+00:00
1629.28,1734937200,1636.61,1616.34,1628.54,2024-12-23 07:00:00+00:00
1621.32,1734940800,1637.37,1603.43,1629.08,2024-12-23 08:00:00+00:00
1606.36,1734944400,1628.91,1603.8,1620.86,2024-12-23 09:00:00+00:00
1626.95,1734948000,1630.03,1604.89,1606.09,2024-12-23 10:00:00+00:00
1619.89,1734951600,1635.45,1615.26,1626.0,2024-12-23 11:00:00+00:00
1605.75,1734955200,1625.94,1604.82,1619.78,2024-12-23 12:00:00+00:00
1591.53,1734958800,1611.29,1579.89,1605.57,2024-12-23 13:00:00+00:00
1589.5,1734962400,1614.84,1588.09,1591.21,2024-12-23 14:00:00+00:00
1588.76,1734966000,1600.92,1583.3,1590.08,2024-12-23 15:00:00+00:00
1595.6,1734969600,1609.63,1584.87,1588.14,2024-12-23 16:00:00+00:00
1592.14,1734973200,1597.83,1576.23,1596.11,2024-12-23 17:00:00+00:00
1578.88,1734976800,1596.86,1570.07,1591.95,2024-12-23 18:00:00+00:00
1585.94,1734980400,1592.49,1576.32,1579.18,2024-12-23 19:00:00+00:00
1577.26,1734984000,1592.12,1565.12,1585.59,2024-12-23 20:00:00+00:00
