time,open,high,low,close,datetime
1758057159,74716.1743,75052.5259,74527.4686,74667.2718,2025-09-16 21:12:39
1758060000,74654.3119,75021.042,73934.508,74965.3912,2025-09-16 22:00:00
1758063600,74973.301,75062.3654,74392.5312,74392.5312,2025-09-16 23:00:00
1758067200,74384.6163,75005.8938,73744.608,73851.2585,2025-09-17 00:00:00
1758070800,73837.0032,74515.1168,73508.1878,74230.973,2025-09-17 01:00:00
1758074400,74219.2409,74418.8363,73695.0204,74041.2092,2025-09-17 02:00:00
1758078000,74042.8488,74066.6423,73187.6946,73419.8923,2025-09-17 03:00:00
1758081600,73404.648,73917.8308,73075.9094,73798.919,2025-09-17 04:00:00
1758085200,73791.1441,74106.6386,73482.5685,73898.547,2025-09-17 05:00:00
1758088800,73884.8591,74015.2956,73475.9674,73692.2241,2025-09-17 06:00:00
1758092400,73698.2609,73718.8249,72897.1929,73189.619,2025-09-17 07:00:00
1758096000,73191.6318,73826.7368,73118.5211,73804.3182,2025-09-17 08:00:00
1758099600,73815.8742,73949.9185,72580.6748,72580.6748,2025-09-17 09:00:00
1758103200,72586.4078,72678.8158,71711.756,72506.985,2025-09-17 10:00:00
1758106800,72501.5536,72981.6729,71835.4286,71839.5595,2025-09-17 11:00:00
1758110400,71841.873,71881.9958,71354.858,71759.5188,2025-09-17 12:00:00
1758114000,71760.2736,72850.9329,71675.5547,72336.7239,2025-09-17 13:00:00
1758117600,72329.2401,73670.708,72320.5981,73524.8757,2025-09-17 14:00:00
1758121200,73509.8698,74262.8288,73113.6427,73231.2227,2025-09-17 15:00:00
1758124800,73231.3818,73535.7426,73070.6752,73303.5366,2025-09-17 16:00:00
1758128400,73291.9762,74092.8563,73284.9748,73765.9374,2025-09-17 17:00:00
1758132000,73763.8892,74138.8341,73643.9432,73984.0627,2025-09-17 18:00:00
1758135600,73963.6805,74085.0486,72812.1839,72896.3492,2025-09-17 19:00:00
1758139200,72895.672,73028.2893,72410.8796,72553.1057,2025-09-17 20:00:00
1758142800,72562.0631,72674.2822,71774.1928,71877.4355,2025-09-17 21:00:00
1758146400,71870.7392,72611.2095,71526.3779,71855.7382,2025-09-17 22:00:00
1758150000,71860.9447,73312.9725,71703.7281,72931.7288,2025-09-17 23:00:00
1758153600,72950.0403,73431.3648,72209.2986,72472.4862,2025-09-18 00:00:00
1758157200,72457.4583,73253.3398,72324.4358,72908.6053,2025-09-18 01:00:00
1758160800,72929.0408,73323.1036,72794.1258,73057.1143,2025-09-18 02:00:00
1758164400,73058.6284,73559.1705,72840.417,73381.6606,2025-09-18 03:00:00
1758168000,73373.6401,73917.9965,73017.6086,73829.147,2025-09-18 04:00:00
1758171600,73832.6804,74213.7387,73491.6391,73776.2818,2025-09-18 05:00:00
1758175200,73749.5465,74267.2193,73362.0144,74136.4394,2025-09-18 06:00:00
1758178800,74121.7793,74193.8642,73204.5524,73272.0332,2025-09-18 07:00:00
1758182400,73274.1365,73908.9546,73145.665,73391.1729,2025-09-18 08:00:00
1758186000,73389.0956,73433.0931,72390.1617,72453.1697,2025-09-18 09:00:00
1758189600,72436.0098,72977.2433,72135.4893,72827.0468,2025-09-18 10:00:00
1758193200,72850.6534,73496.4485,72676.7955,73403.8602,2025-09-18 11:00:00
1758196800,73389.9283,73532.6953,72320.1061,72380.19,2025-09-18 12:00:00
1758200400,72399.7226,72920.472,71332.228,71611.9835,2025-09-18 13:00:00
1758204000,71594.4381,71698.8935,71085.0719,71653.4666,2025-09-18 14:00:00
1758207600,71638.6576,71984.6605,71460.4027,71731.3039,2025-09-18 15:00:00
1758211200,71748.7474,71979.2189,71245.5808,71333.5879,2025-09-18 16:00:00
1758214800,71343.9491,71595.0236,71050.442,71216.5243,2025-09-18 17:00:00
1758218400,71236.7901,71713.6684,71047.6136,71633.567,2025-09-18 18:00:00
1758222000,71637.2953,71709.4507,70551.8032,70984.8957,2025-09-18 19:00:00
1758225600,70967.6754,71840.6968,70914.4487,70983.4242,2025-09-18 20:00:00
1758229200,70987.6553,71589.5635,70567.3151,71527.0404,2025-09-18 21:00:00
1758232800,71543.5563,72260.7024,71350.7749,71568.3141,2025-09-18 22:00:00
1758236400,71587.2057,72607.473,71511.3913,72447.5487,2025-09-18 23:00:00
1758240000,72440.4963,72504.6264,71743.518,72207.9391,2025-09-19 00:00:00
1758243600,72213.9053,72789.7218,71997.9826,72366.9768,2025-09-19 01:00:00
1758247200,72347.0329,73149.077,72301.4039,72698.1726,2025-09-19 02:00:00
1758250800,72708.4221,73105.7377,72372.9335,72882.181,2025-09-19 03:00:00
1758254400,72895.7047,73108.7854,72445.0329,72735.9001,2025-09-19 04:00:00
1758258000,72734.9357,73081.4183,72091.699,72220.1127,2025-09-19 05:00:00
1758261600,72265.6358,73010.6746,72119.2024,72995.6452,2025-09-19 06:00:00
1758265200,72996.1407,73468.2964,72402.6639,73102.0362,2025-09-19 07:00:00
1758268800,73116.6611,73956.11,73116.6611,73834.2201,2025-09-19 08:00:00
1758272400,73826.1452,74276.3844,73539.707,73869.7929,2025-09-19 09:00:00
1758276000,73855.2184,74209.0821,73018.572,73130.8751,2025-09-19 10:00:00
1758279600,73151.485,73207.7915,72376.1869,72749.0026,2025-09-19 11:00:00
1758283200,72771.4039,73103.5958,72432.4084,72498.3345,2025-09-19 12:00:00
1758286800,72504.7389,72545.7405,71243.3344,71454.2189,2025-09-19 13:00:00
1758290400,71484.6855,72344.956,70757.5683,72344.956,2025-09-19 14:00:00
1758294000,72355.3393,72678.5067,71961.7727,72238.9086,2025-09-19 15:00:00
1758297600,72225.2518,72698.4122,72055.6552,72314.9718,2025-09-19 16:00:00
1758301200,72284.5048,72954.9616,72040.0283,72184.9265,2025-09-19 17:00:00
1758304800,72186.5653,73414.2909,71917.8611,73402.184,2025-09-19 18:00:00
1758308400,73424.8265,73517.0682,72900.0692,73220.6703,2025-09-19 19:00:00
1758312000,73232.1664,73795.6727,72367.8618,72435.9959,2025-09-19 20:00:00
1758315600,72437.0937,72447.5167,71578.3812,71744.5285,2025-09-19 21:00:00
1758319200,71741.5974,71928.3737,71001.7166,71190.227,2025-09-19 22:00:00
1758322800,71222.6313,71955.9996,71034.2676,71907.8885,2025-09-19 23:00:00
1758326400,71893.3778,73334.9554,71890.453,72912.163,2025-09-20 00:00:00
1758330000,72897.2145,73442.2993,72785.7078,73119.9806,2025-09-20 01:00:00
1758333600,73117.1003,73873.7461,72616.3331,72627.891,2025-09-20 02:00:00
1758337200,72624.8481,72900.8609,72195.9218,72818.0997,2025-09-20 03:00:00
1758340800,72831.3759,73192.9032,72590.7002,72686.1416,2025-09-20 04:00:00
1758344400,72683.8169,73466.9541,72238.3462,72284.6308,2025-09-20 05:00:00
1758348000,72283.6178,72619.6895,71971.879,72109.7867,2025-09-20 06:00:00
1758351600,72106.003,72711.2888,71840.8776,72188.8812,2025-09-20 07:00:00
1758355200,72203.4822,72536.974,71808.3432,72115.1373,2025-09-20 08:00:00
1758358800,72111.2566,73517.9866,72039.4887,73116.0299,2025-09-20 09:00:00
1758362400,73145.1898,73666.5454,72403.4105,72526.8023,2025-09-20 10:00:00
1758366000,72521.002,72530.1891,71854.5658,72415.3877,2025-09-20 11:00:00
1758369600,72416.5093,72803.7175,72038.0236,72658.9074,2025-09-20 12:00:00
1758373200,72671.8613,73604.7717,72579.1985,73174.5513,2025-09-20 13:00:00
1758376800,73168.3444,73648.1523,72802.0258,73283.314,2025-09-20 14:00:00
1758380400,73278.9008,73780.9533,73201.5748,73328.5519,2025-09-20 15:00:00
1758384000,73325.4665,73923.8501,73247.3595,73386.7102,2025-09-20 16:00:00
1758387600,73409.4491,74024.1634,73140.7759,73885.9828,2025-09-20 17:00:00
1758391200,73865.1055,73905.8256,73256.412,73765.9745,2025-09-20 18:00:00
1758394800,73768.5924,74279.0945,73720.285,73841.7744,2025-09-20 19:00:00
1758398400,73850.5945,73949.4691,73243.6213,73425.9504,2025-09-20 20:00:00
1758402000,73449.4109,73687.5005,73029.5994,73515.2678,2025-09-20 21:00:00
1758405600,73518.9701,73652.1129,72997.5538,73165.2575,2025-09-20 22:00:00
1758409200,73174.6836,74033.8289,73009.8327,73977.1871,2025-09-20 23:00:00
1758412800,73990.7387,74008.3751,72435.3089,72515.3231,2025-09-21 00:00:00
1758416400,72513.2992,73495.4329,72340.6248,73394.8241,2025-09-21 01:00:00
1758420000,73390.9248,73674.7593,72950.4672,73208.8602,2025-09-21 02:00:00
1758423600,73200.3306,74130.2859,73051.2444,73780.4492,2025-09-21 03:00:00
1758427200,73785.5126,74606.8804,73669.7245,73993.7962,2025-09-21 04:00:00
1758430800,74004.4891,74224.2668,73440.0653,73573.5553,2025-09-21 05:00:00
1758434400,73569.0711,74137.3562,73522.9241,73905.1827,2025-09-21 06:00:00
1758438000,73901.4327,73924.1093,73321.6871,73732.1315,2025-09-21 07:00:00
1758441600,73725.4108,74016.9778,73068.9354,73258.8473,2025-09-21 08:00:00
1758445200,73248.2906,74168.2115,73100.2905,74093.4435,2025-09-21 09:00:00
1758448800,74092.3115,74757.258,73963.2547,74127.7092,2025-09-21 10:00:00
1758452400,74134.3346,74210.5263,73686.0877,73837.4998,2025-09-21 11:00:00
1758456000,73813.6849,74265.4029,73099.3882,73537.2136,2025-09-21 12:00:00
1758459600,73523.819,73940.3136,73212.6197,73804.8691,2025-09-21 13:00:00
1758463200,73812.8804,74433.2948,73415.913,74157.3492,2025-09-21 14:00:00
1758466800,74148.4566,74403.8071,73374.1742,73744.1203,2025-09-21 15:00:00
1758470400,73746.8483,74336.7677,73469.6631,73614.5991,2025-09-21 16:00:00
1758474000,73598.2624,73675.0203,72950.6419,73143.3309,2025-09-21 17:00:00
1758477600,73150.5531,73993.2547,73093.279,73740.5231,2025-09-21 18:00:00
1758481200,73741.4208,74908.3542,73716.556,74469.486,2025-09-21 19:00:00
1758484800,74472.1393,74613.6534,73704.4165,73882.6903,2025-09-21 20:00:00
1758488400,73888.9152,74441.2984,73319.5218,73366.8762,2025-09-21 21:00:00
1758492000,73361.3023,73508.8631,72920.9684,73493.1011,2025-09-21 22:00:00
1758495600,73497.306,74419.281,73363.1052,73905.8272,2025-09-21 23:00:00
1758499200,73933.8127,74588.0794,73839.8836,74232.8182,2025-09-22 00:00:00
1758502800,74259.4855,74287.4649,73690.0638,73908.968,2025-09-22 01:00:00
1758506400,73912.0835,74890.9895,73799.5953,74713.8635,2025-09-22 02:00:00
1758510000,74718.0652,75102.5397,74178.7396,74365.1625,2025-09-22 03:00:00
1758513600,74375.145,75187.4054,74264.9678,74970.6932,2025-09-22 04:00:00
1758517200,74966.8886,75427.3022,74508.6216,74815.2906,2025-09-22 05:00:00
1758520800,74805.232,75132.5189,74142.2709,74395.3038,2025-09-22 06:00:00
1758524400,74410.5478,74524.5697,72410.9985,72495.5952,2025-09-22 07:00:00
1758528000,72506.7292,72560.2671,71015.9013,71015.9013,2025-09-22 08:00:00
1758531600,71008.7922,71377.0635,70753.4257,71112.6636,2025-09-22 09:00:00
1758535200,71125.83,71794.0526,71007.4179,71709.584,2025-09-22 10:00:00
1758538800,71705.7878,71939.3719,71013.1005,71492.5653,2025-09-22 11:00:00
1758542400,71491.2635,71602.6636,70970.9654,71416.0572,2025-09-22 12:00:00
1758546000,71412.3189,71768.3746,70826.1764,71557.8127,2025-09-22 13:00:00
1758549600,71571.7309,71838.4854,71380.8665,71457.3861,2025-09-22 14:00:00
1758553200,71458.8196,72434.5761,71248.0907,72162.0583,2025-09-22 15:00:00
1758556800,72165.227,72570.4707,71979.0231,72272.8351,2025-09-22 16:00:00
1758560400,72285.7042,72868.9727,72103.9624,72128.5387,2025-09-22 17:00:00
1758564000,72125.2634,72251.9847,71270.7895,71534.8665,2025-09-22 18:00:00
1758567600,71544.4732,72050.317,71326.0403,71790.8545,2025-09-22 19:00:00
1758571200,71761.1115,72552.2915,71363.193,72489.6479,2025-09-22 20:00:00
1758574800,72486.5067,72958.5206,71906.1224,71944.2794,2025-09-22 21:00:00
1758578400,71946.5588,72022.849,71491.2396,71791.9109,2025-09-22 22:00:00
1758582000,71804.4437,72858.018,71679.5074,72772.0359,2025-09-22 23:00:00
1758585600,72778.7794,73032.8621,72540.3934,72979.4216,2025-09-23 00:00:00
1758589200,72977.1038,73932.0932,72904.2336,73775.0264,2025-09-23 01:00:00
1758592800,73784.3006,74998.6852,73700.4674,74797.2304,2025-09-23 02:00:00
1758596400,74790.4854,75310.6841,74469.8725,74874.9487,2025-09-23 03:00:00
