month,trades,winners,losers,win_rate,total_pnl,avg_pnl_per_trade,max_profit,max_loss,max_drawdown,profit_factor,balance
2024-12,6,6,0,100.0,5.560272718882188,0.9267121198136979,1.9415901472088646,0.3472060076357583,0.0,inf,1005.5602727188822
2025-01,12,7,5,58.333333333333336,-2.1883073910120596,-0.18235894925100496,1.3740066250913658,-7.073004981361129,0.7108817396331688,0.7249274780847699,997.811692608988
2025-02,4,1,3,25.0,-7.432296194565193,-1.8580740486412983,1.949698676455921,-5.077395742394732,0.7989518087820443,0.20781280561963472,992.5677038054348
2025-03,8,4,4,50.0,2.085029892895152,0.260628736611894,1.5968398737169618,-1.4839955611281657,0.2323915262899618,1.7171539530679383,1002.0850298928951
2025-04,13,12,1,92.3076923076923,9.180952323457378,0.7062271018044137,1.9713030072350204,-1.508053962157998,0.15014272072514695,7.087946820098931,1009.1809523234574
2025-05,10,7,3,70.0,1.379980680542204,0.13799806805422038,2.431774470776916,-6.616781692698872,0.09710064683443523,1.178436900708643,1001.3799806805422
2025-06,8,6,2,75.0,6.668277090968228,0.8335346363710285,2.1889558490404717,-1.088750461573042,0.21566182959163283,4.085252694402837,1006.6682770909682
2025-07,12,9,3,75.0,9.040852553240985,0.7534043794367488,3.871074319487532,-0.8022599896447433,0.1514471482152743,6.414637570524931,1009.0408525532409
2025-08,7,5,2,71.42857142857143,5.304953509854439,0.757850501407777,3.0764830387277664,-2.2404907116544055,0.22316172196507814,2.6661994092994727,1005.3049535098544
2025-09,7,3,4,42.857142857142854,-5.186790464425217,-0.7409700663464596,1.006978646676796,-3.9877737805977462,0.2936672721480818,0.260314487952125,994.8132095355747
2025-10,7,4,3,57.14285714285714,-0.5229182383174875,-0.07470260547392679,2.2526041666666683,-3.620913323746216,0.3604776367244877,0.9079347659265871,999.4770817616825
2025-11,15,13,2,86.66666666666667,8.942560349928225,0.596170689995215,1.8482114648787158,-4.830702105412628,0.04404397214441911,2.694806705037948,1008.9425603499283
2025-12,3,1,2,33.33333333333333,-4.079955234121131,-1.359985078040377,0.21247481278758698,-3.000970290625141,0.30003327954760856,0.04949988944854328,995.9200447658789
